timestamp,open,high,low,close
2018-09-25,323.3900,324.4400,323.0400,323.9300
2018-09-24,323.8200,324.2400,323.0400,323.4400
2018-09-23,324.0000,324.5400,323.5000,323.7500
2018-09-21,323.0700,324.2300,322.8500,323.9400
2018-09-20,322.8100,324.2000,322.6200,323.2500
2018-09-19,323.5600,323.8300,322.4800,323.0100
2018-09-18,324.4700,325.1400,322.6000,323.5500
2018-09-17,324.3800,325.2900,324.0900,324.4200
2018-09-16,324.6000,324.6800,324.2400,324.3100
2018-09-14,323.8200,325.1000,322.9000,324.4900
2018-09-13,324.7100,325.7500,323.3300,324.0900
2018-09-12,324.2300,326.3600,324.0900,324.8300
2018-09-11,324.5100,324.9500,323.7100,324.4800
2018-09-10,325.2500,325.8100,324.0000,324.6900
2018-09-09,324.8200,325.5000,324.3800,325.4100
2018-09-07,325.6000,326.1400,324.0100,324.6300
2018-09-06,327.1700,328.3900,324.7200,325.9400
2018-09-05,327.4300,329.0400,327.0400,327.2800
2018-09-04,326.5100,328.1100,326.2500,327.5800
2018-09-03,326.1800,327.0700,325.9000,326.6400
2018-09-02,326.2000,326.5800,325.7500,326.2000
2018-08-31,326.6500,327.2200,325.5700,326.2400
2018-08-30,325.5400,327.1200,325.2300,326.8700
2018-08-29,323.6800,326.0900,323.4900,325.5700
2018-08-28,323.5000,324.3500,323.2600,323.9200
2018-08-27,323.3000,324.1400,322.9800,323.6700
2018-08-26,323.7000,323.7200,323.1200,323.5700
2018-08-24,323.8800,324.4600,322.9900,323.2400
2018-08-23,322.5600,324.7500,322.3000,324.0500
2018-08-22,322.9100,323.6200,322.3100,322.7800
2018-08-21,323.4800,323.8800,322.4900,323.2000
2018-08-20,322.5800,324.0000,322.3500,323.6500
2018-08-19,322.9000,323.1800,322.4400,322.5800
2018-08-17,323.6800,324.4400,322.1800,322.3100
2018-08-16,323.9600,324.8000,323.0300,323.7400
2018-08-15,322.4800,325.5000,322.0200,324.2400
2018-08-14,322.8500,323.4200,321.8600,322.7100
2018-08-13,323.6200,325.6900,322.4200,322.8300
2018-08-12,322.3900,323.7200,322.3900,323.7000
2018-08-10,320.5100,324.7300,320.2000,322.6700
2018-08-09,319.1200,321.0000,318.8100,320.6800
2018-08-08,319.5500,320.2000,318.6600,319.1700
2018-08-07,319.4700,320.3400,318.9700,319.8400
2018-08-06,319.4700,320.8100,319.2700,319.6200
2018-08-05,319.8400,320.2400,319.3000,319.3900
2018-08-03,320.8000,321.5500,319.3700,319.7000
2018-08-02,320.7200,322.2200,320.3000,320.9400
2018-08-01,320.3300,321.6100,320.0700,320.7800
2018-07-31,321.3900,321.9000,319.7900,320.3000
2018-07-30,322.2300,322.8200,321.1600,321.3900
2018-07-29,322.1000,322.8300,321.8000,322.1000
